model_name,epsilon,accuracy
SINCERE,0.00000,0.95160
SINCERE,0.05000,0.95030
SINCERE,0.10000,0.94940
SINCERE,0.15000,0.94800
SINCERE,0.20000,0.94670
SINCERE,0.25000,0.94550
SINCERE,0.30000,0.94450
SINCERE,0.35000,0.94320
SINCERE,0.40000,0.94180
SINCERE,0.45000,0.93950
SINCERE,0.50000,0.93890
SINCERE,0.55000,0.93770
SINCERE,0.60000,0.93690
SINCERE,0.65000,0.93550
SINCERE,0.70000,0.93380
SINCERE,0.75000,0.93290
SINCERE,0.80000,0.93160
SINCERE,0.85000,0.93000
SINCERE,0.90000,0.92800
SINCERE,0.95000,0.92670
SINCERE,1.00000,0.92460
SINCERE,1.05000,0.92260
SINCERE,1.10000,0.91990
SINCERE,1.15000,0.91760
SINCERE,1.20000,0.91250
SINCERE,1.25000,0.82030
SINCERE,1.30000,0.39140
SINCERE,1.35000,0.16700
SINCERE,1.40000,0.00000
SINCERE,1.45000,0.00000
SINCERE,1.50000,0.00000
SupCon,0.00000,0.95380
SupCon,0.05000,0.95250
SupCon,0.10000,0.95000
SupCon,0.15000,0.94770
SupCon,0.20000,0.94580
SupCon,0.25000,0.94460
SupCon,0.30000,0.94150
SupCon,0.35000,0.93950
SupCon,0.40000,0.93750
SupCon,0.45000,0.93620
SupCon,0.50000,0.93480
SupCon,0.55000,0.93240
SupCon,0.60000,0.93070
SupCon,0.65000,0.92810
SupCon,0.70000,0.92560
SupCon,0.75000,0.92200
SupCon,0.80000,0.91730
SupCon,0.85000,0.91130
SupCon,0.90000,0.90290
SupCon,0.95000,0.88810
SupCon,1.00000,0.69930
SupCon,1.05000,0.44940
SupCon,1.10000,0.26010
SupCon,1.15000,0.06620
SupCon,1.20000,0.00000
SupCon,1.25000,0.00000
SupCon,1.30000,0.00000
SupCon,1.35000,0.00000
SupCon,1.40000,0.00000
SupCon,1.45000,0.00000
SupCon,1.50000,0.00000
