model_name,epsilon,accuracy
SINCERE,0.00000,0.68900
SINCERE,0.05000,0.68100
SINCERE,0.10000,0.67160
SINCERE,0.15000,0.66160
SINCERE,0.20000,0.65320
SINCERE,0.25000,0.64460
SINCERE,0.30000,0.63760
SINCERE,0.35000,0.63180
SINCERE,0.40000,0.62380
SINCERE,0.45000,0.61840
SINCERE,0.50000,0.61280
SINCERE,0.55000,0.60460
SINCERE,0.60000,0.59660
SINCERE,0.65000,0.58740
SINCERE,0.70000,0.57860
SINCERE,0.75000,0.56960
SINCERE,0.80000,0.56200
SINCERE,0.85000,0.55260
SINCERE,0.90000,0.53880
SINCERE,0.95000,0.52400
SINCERE,1.00000,0.50920
SINCERE,1.05000,0.49160
SINCERE,1.10000,0.47100
SINCERE,1.15000,0.44060
SINCERE,1.20000,0.37540
SINCERE,1.25000,0.11980
SINCERE,1.30000,0.00080
SINCERE,1.35000,0.00000
SINCERE,1.40000,0.00000
SINCERE,1.45000,0.00000
SINCERE,1.50000,0.00000
SupCon,0.00000,0.71340
SupCon,0.05000,0.70480
SupCon,0.10000,0.69780
SupCon,0.15000,0.69080
SupCon,0.20000,0.68380
SupCon,0.25000,0.67760
SupCon,0.30000,0.67160
SupCon,0.35000,0.66400
SupCon,0.40000,0.65500
SupCon,0.45000,0.64600
SupCon,0.50000,0.63920
SupCon,0.55000,0.62920
SupCon,0.60000,0.62460
SupCon,0.65000,0.61540
SupCon,0.70000,0.60700
SupCon,0.75000,0.60000
SupCon,0.80000,0.59220
SupCon,0.85000,0.58380
SupCon,0.90000,0.57420
SupCon,0.95000,0.56520
SupCon,1.00000,0.55040
SupCon,1.05000,0.53540
SupCon,1.10000,0.51320
SupCon,1.15000,0.47640
SupCon,1.20000,0.35420
SupCon,1.25000,0.12640
SupCon,1.30000,0.00000
SupCon,1.35000,0.00000
SupCon,1.40000,0.00000
SupCon,1.45000,0.00000
SupCon,1.50000,0.00000
